proxy,test_id,method,route_idx,cpu_time,real_time
CHP,3,add,99,0.14226200299999903,0.13594197800557595
CHP,3,delete,99,0.09192910800000043,0.08896857600484509
CHP,3,get_all,99,0.305624366,0.2883299640088808
CHP,3,add,112,0.3199235070000004,0.29146982499514706
CHP,3,delete,112,0.13201882899999973,0.12475501699373126
CHP,3,get_all,112,0.5115063269999993,0.48256786999991164
CHP,3,add,127,0.3383199749999992,0.30808253900613636
CHP,3,delete,127,0.2605961289999996,0.23834276699926704
CHP,3,get_all,127,0.239128118,0.2255466350034112
CHP,3,add,144,0.49097832799999885,0.4446955840103328
CHP,3,delete,144,0.306086573,0.27789207801106386
CHP,3,get_all,144,0.4013453370000004,0.3774288400018122
CHP,3,add,163,0.5180414510000002,0.4662226770014968
CHP,3,delete,163,0.04930754699999973,0.049287165005807765
CHP,3,get_all,163,1.121339291,1.0568792409903836
CHP,3,add,184,0.4290278030000003,0.38959619200613815
CHP,3,delete,184,0.2046223610000002,0.1858684879989596
CHP,3,get_all,184,1.3662425979999995,1.289875040994957
CHP,3,add,209,0.5017770850000005,0.45468950500071514
CHP,3,delete,209,0.32118247900000085,0.2913598770101089
CHP,3,get_all,209,1.5785255640000013,1.4905113709974103
CHP,3,add,237,0.24020246999999983,0.22068360999401193
CHP,3,delete,237,0.3483404839999995,0.3140248099953169
CHP,3,get_all,237,1.770555869999999,1.6723066179984016
CHP,3,add,268,0.4071363940000001,0.36972442000114825
CHP,3,delete,268,0.3988802620000005,0.3591020330059109
CHP,3,get_all,268,1.023238718,0.9637382560031256
CHP,3,add,304,0.16797266200000038,0.15817194600822404
CHP,3,delete,304,0.14800127600000046,0.13888734100328293
CHP,3,get_all,304,0.06900423999999994,0.06694750300084706
CHP,3,add,344,0.5238995610000003,0.4746924719947856
CHP,3,delete,344,0.21863070600000079,0.19869915099116042
CHP,3,get_all,344,0.9815907250000002,0.9244303489977028
CHP,3,add,389,0.20914219700000025,0.19374111700744834
CHP,3,delete,389,0.40931374799999887,0.36836606499855407
CHP,3,get_all,389,1.6986460440000002,1.604397301998688
CHP,3,add,441,0.29958934200000087,0.27361563900194596
CHP,3,delete,441,0.2965157359999999,0.2693885839980794
CHP,3,get_all,441,0.3330020830000002,0.3139089930045884
